OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2021-024A","STARLINK-2087","47977","US","95.59","53.06","548","546","LARGE","0","2021-03-24",""
"1998-067SJ","MMSATS-1","47976","MMR","91.73","51.64","362","357","MEDIUM","0","1998-11-20",""
"2019-063E","CZ-2D DEB","47975","PRC","100.38","98.64","783","771","SMALL","0","2019-09-25",""
"2019-063D","CZ-2D DEB","47974","PRC","99.97","98.62","776","738","SMALL","0","2019-09-25",""
"2021-023J","M2-B","47973","AUS","95.49","45.00","547","537","MEDIUM","0","2021-03-22",""
"2021-023H","PHOTON-02","47972","US","92.29","45.00","389","384","MEDIUM","0","2021-03-22",""
"2021-023G","GLOBAL-9","47971","US","93.38","45.00","448","432","MEDIUM","0","2021-03-22",""
"2021-023E","GUNSMOKE-J 3","47969","US","95.44","45.00","544","535","SMALL","0","2021-03-22",""
"2021-023D","MYRIOTA 7 (TYVAK-0152)","47968","AUS","95.40","45.00","542","534","SMALL","0","2021-03-22",""
"2021-023C","M2-A","47967","AUS","95.49","45.00","547","537","MEDIUM","0","2021-03-22",""
"2021-023B","CENTAURI-3 (TYVAK-0210)","47966","AUS","95.34","45.00","537","533","SMALL","0","2021-03-22",""
"2021-023A","VEERY-RL1","47965","US","95.15","45.00","530","521","SMALL","0","2021-03-22",""
"2021-022AJ","SMOG-1","47964","HUN","95.20","97.51","539","517","SMALL","0","2021-03-22",""
"2021-022AH","DIY-1/ARDUIQUBE","47963","ARGN","94.73","97.52","514","497","SMALL","0","2021-03-22",""
"2021-022AG","OBJECT AG","47962","TBD","95.23","97.51","539","520","SMALL","0","2021-03-22",""
"2021-022AF","3B5GSAT","47961","UK","95.23","97.52","542","517","SMALL","0","2021-03-22",""
"2021-022AE","OBJECT AE","47960","TBD","95.40","97.52","551","525","MEDIUM","0","2021-03-22",""
"2021-022AD","OBJECT AD","47959","TBD","95.42","97.51","552","526","SMALL","0","2021-03-22",""
"2021-022AC","OBJECT AC","47958","TBD","95.47","97.51","555","528","SMALL","0","2021-03-22",""
"2021-022AB","BEESAT-6","47957","GER","95.30","97.51","546","520","SMALL","0","2021-03-22",""
"2021-022AA","CHALLENGEONE","47956","TUN","95.43","97.51","553","525","SMALL","0","2021-03-22",""
"2021-022Z","KEPLER-6 (ROCINANTE)","47955","CA","95.39","97.51","550","525","MEDIUM","0","2021-03-22",""
"2021-022Y","OBJECT Y","47954","TBD","95.40","97.51","551","525","SMALL","0","2021-03-22",""
